,y
25793,no
44451,no
5749,no
13912,no
18127,no
32543,no
30059,no
7617,no
34013,yes
42563,no
755,no
7725,no
13432,no
30299,no
41508,yes
886,no
44226,yes
13653,no
12976,no
21162,no
44893,yes
27766,no
24129,yes
33867,yes
18331,no
28713,no
8595,no
15161,no
20822,no
41460,no
28603,no
15753,no
4243,no
8958,no
43755,yes
19063,no
21514,no
6489,no
24692,no
10645,no
26986,no
42375,yes
27354,yes
19299,no
35610,no
14547,no
4332,no
10911,no
29888,no
27924,no
30175,no
4749,no
5340,no
18141,no
36262,no
22424,no
32826,no
45016,no
43095,no
31301,yes
4508,no
37875,no
41588,yes
35727,no
32183,no
18822,no
15744,no
36104,no
21839,no
43234,no
30087,no
42664,yes
40579,no
1617,no
40549,no
18728,no
40336,no
26114,no
20956,no
6982,no
32046,yes
29811,no
26227,no
25879,no
22178,no
20775,no
7018,no
18887,no
16083,no
18422,no
5169,no
23125,no
8036,no
17969,no
42661,yes
4991,no
20306,no
31241,yes
32066,no
20315,no
39095,no
9501,no
20504,no
1149,no
42540,yes
15231,no
30767,no
6680,no
24656,no
43109,yes
19601,no
43629,yes
11506,no
35413,no
32975,no
37647,no
6780,no
3132,no
18673,no
30344,no
14070,no
7324,yes
2349,no
13484,no
30512,no
37669,no
39028,no
2090,no
2739,no
4307,no
2365,no
19567,no
16620,no
21796,no
32589,yes
22346,no
1282,no
40238,no
11953,no
38332,no
16980,no
5252,no
29923,no
35412,no
42391,yes
38618,no
19473,no
45050,no
27730,no
2892,no
42287,yes
22601,no
34646,no
2636,no
38536,no
12945,no
35176,no
14414,no
41710,no
11677,no
16701,no
26830,yes
17817,no
60,no
6876,no
31557,no
2486,yes
36,no
38129,no
25765,no
9946,no
16073,no
28496,no
23464,no
20021,no
20675,no
4050,no
10923,no
35878,no
16554,no
38960,yes
29822,yes
6039,no
34295,no
44925,no
3235,no
32274,no
31848,no
771,no
497,no
34893,yes
40184,yes
10877,no
7162,no
20691,no
44590,no
32775,no
19967,no
25008,no
20766,no
18866,no
43869,no
18133,no
39363,no
8948,no
29490,no
29804,no
11247,no
27444,no
31837,yes
37734,no
1823,no
2750,no
19274,no
21481,no
20843,no
29877,no
11426,no
21753,no
31701,no
6992,no
18121,no
30207,no
40920,no
36042,no
35425,no
43227,yes
4705,no
3080,no
20009,yes
36256,no
34292,no
2852,no
37826,no
9965,no
13549,no
35402,no
8070,no
1017,no
36495,no
26102,no
15491,no
16375,no
21395,no
38671,no
14242,no
20293,no
35274,no
39711,no
1471,no
37584,yes
30149,no
30271,no
28576,no
36847,no
14768,no
10701,no
22416,no
20242,no
3214,yes
22083,no
33174,no
17446,no
18374,no
28400,no
4843,no
4226,no
5356,no
25990,no
29099,no
7411,no
1708,no
24140,no
34128,yes
28167,no
31834,yes
29571,no
23841,no
23310,no
31506,yes
24678,no
36706,no
22567,no
21016,no
14320,no
3989,no
22393,no
34815,no
19353,no
12519,no
8177,no
30597,no
12235,no
36403,no
9109,no
18560,no
40316,no
39620,no
18801,no
42951,yes
4610,no
23996,no
3891,no
25299,no
32690,no
43071,yes
11970,no
40693,no
43152,no
37240,no
26378,no
9035,no
12299,no
44833,no
8967,no
18106,no
34932,no
29573,no
30116,no
38571,no
1517,no
27025,no
18841,no
42069,no
14729,no
14764,no
15665,no
1528,no
1265,no
29979,no
16252,no
8304,no
25367,no
35205,no
36562,yes
17424,no
8662,no
24336,no
8774,no
35228,no
24481,no
10492,no
1115,no
28885,no
17186,no
4547,no
8495,no
2816,no
2854,no
2082,no
20621,yes
21172,no
32989,no
31632,no
21159,no
19027,no
43933,yes
12015,no
6527,no
29231,no
18692,no
26698,no
2092,no
44736,no
15708,no
32857,no
33596,no
41300,yes
21525,no
38981,no
39962,no
35771,no
36359,no
11256,no
28582,no
35011,no
30616,no
8133,no
44727,no
26194,no
909,no
39413,no
30331,no
31657,no
13959,no
21700,no
7173,no
21367,no
39353,no
31092,no
12561,no
29927,no
25655,no
13436,no
22855,no
17461,no
8062,no
22333,no
7801,no
27954,no
27363,no
41245,yes
26134,no
37918,no
3695,no
26555,no
43352,yes
37941,no
41298,no
25153,no
18350,no
7378,no
7167,no
11312,no
36106,no
5027,no
16078,no
7933,no
8409,no
31752,no
12109,no
25311,no
34794,yes
20767,no
6252,no
15137,no
41193,yes
36607,no
10741,no
4048,no
11360,no
13714,no
39332,no
39397,no
324,no
21009,no
17736,no
38964,no
18874,no
17720,no
11937,no
26314,no
24972,no
39515,no
28791,no
25996,no
40617,yes
22609,no
4945,no
15308,no
16456,no
35082,no
14289,no
42541,yes
4595,no
34202,no
23446,no
20296,yes
3086,no
10839,no
11591,no
10823,no
41840,yes
21556,no
29548,no
39217,no
39678,no
20513,no
29787,no
35394,no
44313,yes
19561,no
8654,no
40086,yes
2511,no
28967,no
11421,no
14194,no
33452,no
12017,no
9122,no
3045,no
6518,no
23127,no
20809,no
9199,no
45070,no
20238,no
17749,no
10126,no
30813,no
43797,yes
3144,no
10019,no
39695,no
1945,no
9236,no
2446,no
37414,no
14234,no
32867,no
12239,no
26393,yes
41934,yes
21562,no
10441,no
25841,no
36427,no
2442,no
27262,no
11605,no
22996,no
18166,no
17318,no
30293,yes
41326,no
11924,no
40881,no
12146,no
13498,no
29854,no
30406,no
2024,no
14846,no
11857,no
1277,no
1704,no
31238,yes
950,no
16116,no
15269,yes
15321,yes
45157,yes
6499,no
2815,no
16516,no
26050,no
15529,yes
32005,yes
4366,no
43382,no
30462,no
28265,no
29047,no
15837,no
449,no
21248,no
26209,no
7291,no
38698,no
28372,no
14958,yes
6858,no
36733,no
37119,no
8336,no
2662,no
23808,no
11468,no
10106,no
8216,no
3947,no
35813,no
40673,no
519,no
8208,no
21884,yes
7352,no
36809,yes
11327,no
38265,no
19285,yes
36342,no
37202,no
24597,no
39662,yes
24188,no
41709,yes
10866,no
31725,no
19202,no
22642,no
36534,no
21083,no
26028,yes
14899,no
44335,yes
36654,yes
17224,no
7835,no
43445,no
5221,no
5329,no
29423,no
26135,no
9856,no
28113,no
3565,no
14154,no
30030,no
28164,no
12201,no
11127,yes
19442,no
38793,no
25010,no
37786,no
27490,no
18076,no
13804,no
25555,yes
6856,no
16202,no
38930,no
590,no
43535,yes
38948,no
18044,no
36223,no
13381,no
2789,no
35801,no
33339,no
40168,no
2028,no
1498,no
43413,no
37811,yes
7451,no
11519,yes
3807,no
17048,no
17808,no
2357,no
26628,no
3651,no
15963,no
41479,no
17525,no
33250,no
42910,no
23480,no
17455,yes
40012,yes
1764,no
26137,no
41750,yes
34537,no
34456,no
31178,yes
37081,no
20126,no
3524,no
21882,no
29297,no
22456,no
40891,no
13894,no
40692,no
32752,no
24416,no
31110,no
38388,no
7568,no
2467,no
23898,no
37761,no
39317,no
415,no
44889,no
2837,no
19151,no
8892,no
13095,no
26815,no
42425,no
21292,no
15575,no
35679,no
23738,no
16904,no
8841,no
22727,no
41699,no
43608,no
37599,no
18837,no
33830,no
7872,no
22983,no
21926,no
22411,no
12972,no
16329,no
38383,no
21583,no
41866,yes
13712,no
29554,no
6655,no
1022,no
14374,no
2394,no
21754,no
12003,no
27656,no
13523,yes
4752,no
24168,no
34255,no
28156,no
39925,yes
30323,no
43936,yes
34813,no
44336,yes
3782,no
40728,yes
12495,yes
1133,no
2703,no
968,no
24626,no
44021,yes
22212,yes
27256,no
17591,no
11720,no
22794,no
38184,no
12819,no
32037,yes
13941,no
27566,no
9594,no
3730,yes
26222,no
29647,no
23941,no
20563,no
18241,no
4251,no
17365,no
6152,no
33286,no
30224,no
15983,no
33273,no
18163,no
36931,no
12355,no
13871,no
23210,yes
43649,yes
19844,no
43822,yes
9969,no
44340,yes
17554,no
3632,no
20954,no
32049,no
43334,yes
27448,no
31615,no
15568,no
265,no
25723,no
37052,no
4264,no
3905,no
15324,no
6838,yes
34003,yes
27652,no
41301,no
44279,yes
4418,no
32700,no
12903,no
30664,no
18767,no
29442,no
33438,yes
44843,yes
8868,no
44295,yes
26580,yes
31892,no
31712,yes
8043,no
17955,no
34333,no
8810,no
31461,no
26158,no
25370,no
28842,no
11219,no
22364,no
41922,no
9166,no
13135,no
42610,no
28813,no
42649,yes
20404,no
41711,yes
32471,yes
7642,no
5849,no
24477,no
26445,no
29880,no
10684,no
40606,no
15507,no
43357,no
4415,no
25263,no
11407,no
17049,no
40426,no
33203,no
18206,no
13130,no
39976,yes
30502,no
24205,no
10079,no
44159,yes
32461,no
32377,no
13140,no
40794,no
23008,no
17046,no
13402,no
22544,no
40923,no
11380,no
40226,yes
43928,no
22082,no
40672,yes
37021,no
22080,no
9459,no
13705,no
16378,no
27925,no
3167,no
12432,no
43200,no
21934,no
10399,no
17982,no
5471,no
42214,yes
27614,no
6682,no
18965,no
21047,no
34109,yes
33327,no
24526,no
10340,no
20359,no
3577,no
11731,no
21712,no
16060,no
15036,no
19972,yes
8350,no
6427,no
4585,no
31924,yes
33608,no
26874,no
20754,no
2567,no
43384,yes
19725,no
29718,no
24483,no
21257,yes
35890,no
42219,yes
38299,no
37276,no
36951,no
33926,no
12059,no
18364,no
18950,no
44886,no
36603,no
25321,no
4177,no
35327,no
9624,no
11200,no
27981,no
11225,no
28507,no
6479,no
19912,no
29464,yes
1195,no
28420,no
22723,no
38232,no
7997,no
13466,yes
19577,no
7139,no
18405,no
35483,no
22295,no
18512,no
6932,no
21979,no
16562,no
35455,no
6904,no
42954,yes
39449,no
21050,no
31681,no
709,no
33679,no
35639,no
29617,no
19743,no
2556,no
40592,no
41566,yes
17246,no
10856,no
10443,no
34306,no
29629,no
37445,no
23075,no
23894,no
16224,no
17220,no
18039,no
15365,no
10398,no
28689,yes
16793,no
12658,no
34843,no
27789,no
12483,no
40283,no
27551,yes
18220,no
3246,no
12130,no
4365,no
38062,no
33182,no
25822,no
41035,yes
3138,no
19616,no
17725,no
18964,no
4284,no
21194,no
40075,no
37503,no
29599,no
39792,yes
3185,no
23492,no
12125,no
16466,no
7966,no
22699,no
25115,no
19459,no
21822,no
26438,no
19710,no
19001,no
38947,no
30804,no
28557,no
36255,no
7931,no
38365,no
807,no
24919,no
1189,no
37848,no
6369,no
16026,no
15576,no
13109,no
3643,no
325,no
18847,no
28165,no
39212,yes
32087,no
17459,no
11522,no
12232,no
39011,no
21875,no
16532,no
23017,no
25541,no
5711,no
21502,no
5513,no
41343,no
6435,no
4620,no
16462,no
28627,no
16720,no
12676,no
5891,no
35571,no
13249,no
31570,no
39237,no
38241,no
41378,no
29014,no
5284,no
7537,no
21044,no
35450,no
41502,yes
19872,no
4225,no
15987,no
45124,yes
40513,yes
26094,no
2111,no
18050,yes
15049,no
3869,no
3779,no
1990,no
8723,no
38555,no
37633,no
44778,yes
25504,no
44875,no
8433,no
18722,no
8923,no
1349,no
31277,yes
3833,no
14964,no
24676,no
2381,no
4067,no
33004,no
15880,no
17240,no
9392,no
42084,no
9398,no
44198,no
44770,yes
356,no
7613,no
19170,no
7573,no
7699,no
24746,no
11489,no
16996,yes
27774,no
15337,no
5298,no
28669,no
15784,no
42307,no
21504,no
7081,no
556,no
9036,no
10751,no
4216,no
7479,no
32459,no
19723,no
37236,no
13963,no
28981,yes
14149,yes
26793,no
32635,no
9814,no
31197,no
42831,no
16409,no
4191,no
23349,no
30305,no
1363,no
28047,no
10062,no
23853,no
7993,no
39296,no
23555,no
33372,no
7153,no
34266,no
33258,no
37408,no
878,no
21343,no
40548,no
38656,no
16467,no
25187,no
6942,no
19115,no
35800,no
6455,no
33422,yes
23976,no
21371,no
44158,yes
2945,no
21219,no
38655,no
3289,no
12361,no
12286,no
2439,no
14157,no
36307,no
7354,no
3173,no
41329,no
17198,no
16708,no
6094,no
21259,no
20985,no
17480,no
20710,no
29608,no
20846,no
26538,no
43953,no
38776,no
3864,no
29898,yes
26205,no
14612,no
39947,yes
14165,no
6970,no
22904,no
42775,yes
44814,yes
23571,no
28516,no
11166,no
39625,no
4344,no
3183,no
37901,no
18963,no
16683,no
33860,no
33270,no
39061,no
28253,no
35738,yes
37483,no
390,yes
38510,no
33944,yes
32396,no
28192,no
40489,yes
16897,yes
17280,yes
19907,no
12499,no
39233,no
28474,no
11535,no
42452,no
3761,no
25214,no
42145,no
31660,yes
1374,no
29397,yes
8757,no
42133,yes
2224,no
11501,no
40041,no
30222,no
19939,no
7330,no
25892,no
29833,no
13829,no
29781,no
1027,no
38338,no
15824,no
31363,no
186,no
35731,no
19613,yes
21969,no
21960,no
27392,no
45046,yes
39300,no
32981,no
7105,no
12773,no
17121,no
21917,no
430,no
18561,no
25207,no
34377,no
4914,no
12264,no
15371,no
24289,no
41282,no
27772,no
42444,yes
13112,no
33420,no
16578,no
39861,no
5536,no
24755,no
22077,no
15591,no
5126,no
25205,no
14578,no
31137,yes
22384,no
13828,no
5659,no
7766,no
29164,no
37627,no
23795,no
16685,no
21299,no
5714,no
44163,yes
38278,no
39103,no
1290,no
13944,yes
42555,no
27134,no
15463,no
22336,no
28220,yes
32928,no
44786,yes
18581,no
1130,no
7161,no
42028,no
23138,no
18809,no
8554,no
42334,yes
10708,no
40529,no
32089,yes
10485,no
19796,no
7999,no
13844,no
44319,no
17451,no
8519,no
20891,no
2035,no
5333,no
4127,no
44630,yes
1404,no
30287,no
11325,no
32191,no
32120,no
2308,no
20036,no
28793,no
7328,no
12111,no
18711,no
6561,no
618,no
31245,no
13331,no
11210,no
4121,no
9080,no
22750,no
34067,yes
303,no
4873,no
41669,no
912,no
8976,yes
1729,no
7248,no
35943,no
16855,yes
7889,no
8646,yes
1878,no
25105,no
42878,no
14008,no
13255,no
1664,no
5511,no
19008,no
29459,no
5151,no
26003,no
12284,no
5617,no
45191,yes
18703,no
12815,no
1954,no
9251,no
24784,no
17081,no
41684,no
22672,no
21681,no
20129,no
35896,no
43476,no
40462,no
16448,no
27995,no
20202,no
34920,no
24293,no
38637,yes
14120,no
41030,yes
42536,no
41582,yes
35845,yes
22008,no
8746,no
34184,yes
18700,no
543,no
22135,no
416,no
8993,no
20840,no
39832,no
19090,no
44993,no
25198,no
39352,no
31003,no
12574,no
1817,no
21240,no
1387,no
24744,no
19576,no
31611,no
13838,no
11629,no
22309,no
20905,no
44074,no
4929,no
8460,no
42698,no
32486,no
22984,no
43250,yes
42879,no
17797,no
9096,no
41754,no
9544,no
44504,no
6913,no
41050,no
13240,no
19850,no
45088,no
17340,no
2547,no
6514,no
39718,no
612,no
29727,no
24269,no
17376,no
35143,no
25224,no
35577,no
40206,no
26248,no
3830,yes
42299,no
32693,no
2412,no
24648,no
2071,no
2332,no
31210,yes
8551,no
2807,no
1408,no
32854,no
30809,no
8479,no
39497,no
11798,no
7533,no
30829,no
33698,yes
24217,no
19700,no
31142,yes
44421,no
5248,no
17028,yes
8354,no
17019,no
29872,no
26136,no
33945,no
35411,no
4616,no
20798,no
11730,no
24462,no
20030,no
27001,no
16615,no
41011,no
15836,no
33517,no
24582,no
16445,no
42152,no
19435,no
39522,no
27587,no
30098,no
38503,no
19395,no
34665,no
27593,no
26751,no
42288,no
5460,no
27554,no
2396,no
24595,no
34179,no
41913,yes
41474,no
32034,no
25884,no
34262,no
31186,no
19635,no
20068,no
7273,no
30666,no
29700,no
23695,no
12096,no
2772,no
38723,no
19596,no
23340,no
23191,yes
25577,no
5184,no
33575,no
44541,no
37002,no
22669,no
1009,no
27403,no
35276,no
20684,no
16358,no
16847,no
20485,no
15516,no
33223,no
35724,no
16482,yes
37258,no
26733,no
26240,no
14965,no
9002,no
44621,no
30223,no
36536,yes
6025,no
20218,no
16045,no
17557,no
35837,no
25283,no
39345,no
12041,no
17822,no
26197,no
36021,no
38887,no
5359,no
15111,no
18848,yes
9898,no
33657,no
42662,no
34925,no
23870,no
21877,no
30345,no
12241,no
41899,yes
19898,no
34483,yes
27555,yes
21721,no
39614,no
35001,no
2993,no
34723,no
23307,no
26616,no
38287,no
22460,no
6553,no
26871,no
5484,no
19132,no
20650,no
16311,no
23760,no
28736,no
35916,no
28532,no
17331,no
5097,no
21419,no
21684,no
32847,no
37140,yes
35805,yes
39033,no
28284,yes
26711,no
16090,no
32783,no
36309,no
9992,no
1938,no
3873,no
7365,no
36345,no
28258,no
8113,no
1192,no
7657,no
30880,no
24827,no
25929,no
24854,no
18825,no
10641,no
27287,no
18861,no
38629,no
11524,no
19311,no
26439,no
35859,no
15635,no
1825,no
28841,no
24389,no
34170,yes
37623,yes
14129,no
36220,no
28877,no
45018,no
22910,no
8596,no
36469,no
21820,no
6057,no
36481,no
39785,no
36711,no
30351,yes
17575,no
23025,no
38024,no
5239,no
40704,no
10845,no
27050,yes
37108,no
11319,no
7592,no
37538,no
12840,no
29709,no
9695,no
25616,no
41979,yes
6765,no
9531,no
32329,no
2462,no
8202,no
385,no
36518,no
13609,no
24979,yes
24520,no
25177,no
35503,no
36626,no
18808,no
20040,no
19733,no
45183,no
43506,yes
37144,no
34586,no
10497,no
14762,no
9842,no
41286,yes
1139,no
7136,no
27915,no
2400,no
3349,no
15858,yes
18203,no
8015,no
5379,no
1863,yes
28734,no
18126,yes
34367,no
43723,no
19145,no
35720,no
17388,no
15301,no
23441,no
28042,no
12612,no
4180,no
30441,no
8119,no
24456,no
16197,no
43663,yes
25662,yes
33744,yes
8712,no
13348,no
42550,yes
11107,no
19451,no
34682,no
36081,no
35090,no
38639,no
34541,no
44082,yes
10872,no
24276,no
15989,no
13462,no
8979,no
9953,no
2693,no
2597,no
11372,no
5086,no
3558,no
22534,no
28005,no
28619,no
24219,no
32430,no
25628,no
20181,no
34935,no
45108,no
18354,no
11194,no
20630,no
42237,yes
35177,no
29424,no
25653,no
22684,no
6844,no
43733,yes
1141,no
6164,no
608,no
10596,no
19790,no
35027,no
9430,no
16313,no
6675,no
7968,no
39053,no
36916,no
21024,no
710,no
34590,no
24187,no
11246,no
24629,no
29208,no
24605,no
4208,no
31352,yes
41786,yes
29921,no
27862,no
41110,no
37066,no
45074,yes
37402,no
34543,no
40992,no
35502,no
8992,no
37818,no
26818,no
30913,no
43260,yes
1798,no
16437,no
25808,no
34536,no
37781,no
21498,no
11903,no
33930,yes
8245,no
30968,no
21437,no
22541,no
37362,no
36751,no
6584,no
28145,no
30002,no
15270,no
6923,no
41174,yes
38770,no
32799,no
10248,no
42529,yes
12803,no
40670,yes
10553,no
19493,no
14377,no
19918,no
10270,no
12823,no
17521,no
1963,no
14235,no
21442,no
5499,yes
2973,no
25587,no
36100,yes
44317,yes
16190,no
963,no
8805,no
9361,no
1901,no
12635,no
13800,no
22713,no
44364,no
34315,no
11794,no
40894,no
9387,no
8388,no
21426,no
15151,no
9187,no
41026,no
10935,no
32128,no
23080,no
10356,no
2974,no
27414,no
61,no
16388,no
14170,no
15565,no
26234,no
42371,yes
26287,yes
12893,no
19852,no
27644,no
39278,no
44359,no
42102,no
38120,no
18376,no
475,no
18895,no
35758,no
44766,no
29619,no
22953,no
9723,no
15801,no
15570,no
29122,no
23631,no
2075,no
2009,no
31172,no
23279,no
31373,no
19206,no
1627,no
932,no
2506,no
9006,no
26689,no
20026,no
33101,no
7277,no
18224,no
39865,yes
41507,no
37946,no
42733,yes
31959,no
4582,no
24650,no
6405,no
35508,no
7037,no
4767,no
34236,no
4841,no
42600,yes
14177,no
11884,no
42335,yes
15920,no
44060,no
41838,yes
569,yes
14565,no
25403,no
18554,no
21799,no
33393,yes
12024,no
21737,no
36860,no
33946,yes
5623,no
22830,no
5011,no
14890,no
33081,no
18520,no
23306,no
44425,yes
43542,yes
25855,no
17195,no
23679,no
2947,no
126,no
22084,no
30974,no
43857,no
4263,no
3190,yes
959,no
30088,no
3294,yes
12614,no
20824,yes
39393,no
11992,no
24736,no
5974,no
14777,no
20534,no
42837,no
11342,no
23044,no
7327,no
27697,no
3910,no
31732,no
40320,no
18844,no
1836,no
36133,no
12568,no
37757,no
10588,no
35682,no
36774,no
18469,no
18018,no
26713,no
26680,no
37644,no
34196,yes
7342,no
26337,no
45169,no
10790,no
27598,no
8676,no
41390,yes
33300,no
34931,no
44,no
16063,no
38008,no
9013,no
27662,no
16775,no
3431,no
9539,no
22126,no
28962,no
20297,no
30877,no
13244,no
11438,no
40507,no
24033,no
1298,no
7240,no
37451,no
3215,no
8942,no
43080,yes
34277,no
20852,no
34826,no
44603,no
41988,no
42427,no
6053,no
17065,no
23693,no
17306,no
28458,no
38773,no
9319,yes
5750,no
23845,no
12042,no
34240,no
43424,yes
43935,no
22160,no
40654,no
43983,no
37488,no
18417,no
34167,yes
9900,yes
28731,no
11962,no
38827,no
8196,no
15294,no
32546,no
36884,no
8719,no
17857,no
16114,no
25247,no
3029,no
14155,yes
7431,no
1508,no
11378,no
43170,no
10296,no
37952,no
13400,no
22851,no
4313,yes
7601,no
44040,no
4884,no
42445,yes
2043,no
34002,no
14056,no
31221,no
15184,no
5677,no
3344,no
13887,no
27616,no
29544,no
22495,no
38615,no
42330,no
33046,no
12589,no
7554,no
16463,no
17566,no
31538,no
42719,no
22937,no
35614,no
5551,no
40397,no
33837,no
37334,no
4566,no
18375,no
15297,no
34440,no
8181,no
36791,no
10112,no
2630,no
19010,yes
27379,no
16014,no
22468,no
13910,yes
5556,no
12778,no
40380,no
41527,no
13684,no
4687,no
27780,no
6107,no
25750,no
37679,no
1102,no
42486,no
37789,no
36082,no
18113,no
745,no
43115,yes
39508,yes
37721,no
14230,no
13656,no
44873,no
42602,yes
17013,no
26210,no
43643,no
16711,no
10209,no
41309,no
3450,no
35029,no
36964,no
28379,no
36904,no
8074,no
15976,no
11879,no
29358,no
26377,no
816,no
21077,no
1216,no
5280,no
18115,no
33721,yes
32360,no
2864,no
25338,no
23478,no
22558,no
14388,no
4977,no
4221,no
28394,no
11296,no
23554,no
22271,no
9426,no
6782,no
11091,no
41849,yes
44936,no
3418,no
13671,no
1373,no
13628,no
4760,no
24711,no
28876,no
15620,no
5837,no
15504,no
23165,no
10255,no
1398,no
270,yes
36749,no
1314,no
4222,no
26408,no
38983,no
35244,no
5344,no
44942,no
43715,no
15697,no
26562,yes
43551,no
8573,no
7211,no
31321,yes
43223,yes
39078,no
34910,no
20075,no
25361,no
1359,no
25167,no
38402,no
16140,yes
42155,no
8240,no
31484,no
31491,no
11297,no
17621,no
10222,no
16733,yes
28419,no
34273,yes
1978,no
33659,no
35732,yes
24667,no
10453,no
3957,no
6293,no
11269,no
37491,no
15437,no
10638,no
26701,no
33600,no
38738,no
5072,no
21427,no
6497,no
10249,no
27522,no
39308,no
44041,yes
8589,no
1101,no
33896,no
42874,yes
28498,no
22177,no
44292,yes
17438,no
34146,yes
4011,no
39108,no
16957,no
11180,no
33411,no
39542,no
22678,no
26931,no
25424,no
4803,no
13747,no
17578,no
10280,no
11848,no
25434,no
8178,no
496,no
9895,no
44450,yes
39034,no
15334,no
2576,no
36541,no
31429,yes
29290,no
1850,yes
32160,yes
9709,no
37490,no
22232,no
23930,no
13819,no
23230,no
19579,no
26404,no
24935,no
11889,no
38718,no
8770,no
37153,no
43648,no
41882,no
19210,no
36007,no
35710,no
32523,no
38858,no
15214,no
15359,no
24659,no
31084,yes
35236,no
29302,no
38647,no
38406,no
41495,no
20043,no
95,no
16444,no
6238,no
22246,no
22492,no
3200,no
17673,no
21724,no
19737,no
44713,no
38052,no
39796,no
25243,no
38453,no
4346,no
7630,no
44556,yes
33633,no
33792,no
42721,no
7847,no
41621,yes
17718,no
14445,no
12390,no
30565,no
33179,no
43623,no
28683,no
41961,yes
10149,no
35025,no
23860,no
9300,no
15692,yes
30133,no
30489,no
33885,no
35948,no
6896,no
41929,no
10996,no
20443,no
12927,no
4,no
18323,no
2081,no
15967,no
12256,no
19072,no
28605,no
10288,no
30060,no
24945,no
11548,no
16844,no
20788,no
448,no
43441,no
19680,no
32264,no
31861,no
21844,no
21062,no
26771,no
10299,yes
33183,no
17833,no
40745,no
28071,no
37777,no
3448,no
21091,no
5277,no
12138,no
13103,no
7225,no
8436,no
4821,no
20428,no
16556,no
29539,no
39684,no
6104,no
3148,no
43694,yes
15917,no
23781,no
21607,no
36968,no
11439,no
9956,no
9738,no
6677,no
3539,no
35398,no
4168,no
14385,no
995,no
31988,yes
25897,no
32133,no
203,no
27037,no
8445,no
17821,no
12671,no
41521,no
28281,no
33800,no
16430,no
35575,no
44618,yes
11103,no
18998,no
14298,no
27865,no
23177,no
23223,no
10145,no
10265,no
44631,yes
17950,no
9908,no
39459,yes
10536,no
44985,no
38749,no
15235,no
42148,no
41558,no
41450,no
24303,no
11095,no
17090,no
21770,no
29315,no
43365,no
32119,no
16005,no
9771,no
28612,no
27273,no
16553,no
12588,no
33338,no
39817,yes
14749,no
44487,yes
2268,no
2363,no
26368,no
19064,no
1357,no
8008,no
24468,no
27449,no
30696,no
30530,yes
29771,no
18134,no
19722,no
18244,no
40318,no
41164,yes
14285,no
7536,no
29824,no
28763,no
19958,no
6043,no
33067,no
34872,no
20588,no
7344,no
9830,no
43563,yes
22452,yes
37392,no
23666,no
23708,no
23249,no
24666,no
20783,no
28482,no
44892,no
25012,no
3237,no
14767,no
1896,no
18840,no
3603,no
28653,no
38654,no
9139,no
40252,no
5454,no
38920,no
38409,yes
26373,no
15023,no
36491,no
5124,no
25773,no
18256,no
34000,no
832,no
43545,no
41419,no
7117,no
41202,no
23277,no
21261,no
10461,no
2830,no
22401,no
22423,no
7121,no
44294,no
19369,yes
11788,no
15555,no
6948,no
13274,no
20557,no
19982,no
17501,no
26623,no
11059,no
19690,yes
44453,yes
32300,no
39989,no
16034,no
29436,no
18712,no
1844,no
29252,no
10764,no
37492,no
14676,no
3157,no
22568,no
32112,yes
32964,no
17414,no
31943,no
18842,no
2979,no
30912,no
22255,yes
29291,yes
25817,no
25868,no
2521,no
43892,yes
10022,no
14581,no
267,no
31379,no
17490,no
8048,no
3949,no
21282,no
2019,no
43967,yes
15764,no
2915,no
2777,no
20861,no
20109,no
43881,no
22334,no
10749,no
15924,no
46,no
10223,no
30985,no
24206,no
34955,no
25560,no
3355,no
15581,no
27266,no
1302,no
26504,yes
2205,no
27344,no
15781,no
40413,yes
13555,no
33381,no
14620,no
44303,no
15792,no
19528,no
19455,no
12066,no
36353,no
26239,no
29865,yes
42572,yes
3085,no
10538,no
24224,no
11569,no
14224,no
5798,no
11911,no
31288,no
44615,yes
8033,no
31111,yes
36979,no
16508,no
19371,no
2700,no
40398,no
41653,no
6412,no
15383,no
44283,no
18730,no
43317,no
18790,no
23840,no
40344,yes
18123,no
45155,yes
44897,no
39875,yes
22256,no
41767,no
2942,no
28404,no
30396,no
30581,no
2322,no
4444,no
18513,no
34871,no
7396,no
40146,yes
29939,no
41858,yes
42008,yes
5661,no
2624,no
11344,no
7449,no
11588,no
4598,no
18782,no
5008,no
6344,no
5679,no
27921,no
42300,no
11417,no
23690,no
25412,no
44309,no
11990,no
2841,no
27085,no
38672,no
13273,no
10277,no
15313,no
253,no
16651,no
37659,no
30854,no
16389,no
34062,yes
34642,no
32560,no
3529,no
15988,no
20613,no
26906,no
31047,yes
20303,no
26884,no
37401,no
17733,no
6270,yes
10644,no
40780,no
9623,no
19827,no
28142,no
39981,no
32311,no
19454,no
2378,no
6316,no
15311,yes
17135,no
6999,no
17273,no
30755,yes
21198,no
17158,no
32972,no
7021,no
6205,no
2684,no
28794,no
15985,no
955,no
26202,no
42651,no
7582,no
7791,no
22821,no
18248,no
31025,no
36283,no
42674,yes
34933,no
14337,no
35661,no
4505,no
18879,no
3735,no
9844,no
19870,no
38538,no
17449,no
7790,no
21805,no
42259,yes
11563,no
4612,no
18057,no
35428,no
35826,no
17311,no
19094,yes
3950,no
32380,no
22432,no
21038,no
15187,no
12656,no
36199,no
22527,no
20337,no
1004,no
5856,yes
3892,no
29990,no
44127,no
5372,no
16360,no
9014,no
29692,no
24291,no
40919,no
4964,no
